date,gross_return,strategy_return,turnover,trading_cost,equity_exposure,cash_weight,benchmark_return,classic_momentum_return,classic_equity_exposure,equal_weight_return,strategy_nav,classic_momentum_nav,benchmark_nav,equal_weight_nav,strategy_value,classic_momentum_value,benchmark_value,equal_weight_value
2019-10-22,0.00705879842736399,0.00705879842736401,0.0,0.0,0.9365966456620582,0.06340335433794175,0.0038754496449222575,0.00037236534171691815,1.0,0.005539973089471184,1.0011962915331103,1.0823105409313902,1.0242962347540543,1.0381569454199204,100119.62915331103,108231.05409313903,102429.62347540543,103815.69454199204
2019-10-23,-0.002935653478759765,-0.002935653478759792,0.0,0.0,0.9364099673615285,0.06359003263847152,-0.006365699148844439,0.011286739819534874,1.0,-0.002447887113932845,0.9982571261569497,1.0945262984108228,1.0177758730843158,1.0356156544109871,99825.71261569497,109452.62984108228,101777.58730843158,103561.56544109872
2019-10-24,-0.005112696824565395,-0.005112696824565388,0.0,0.0,0.936083180039078,0.06391681996092202,-0.00010591359517242438,0.015785052939064403,1.0,-0.0027747009880528806,0.9931533401179473,1.111803453974436,1.0176680767825177,1.03274213063145,99315.33401179474,111180.3453974436,101766.80767825177,103274.213063145
2019-10-25,0.018271046233618488,0.018271046233618415,0.0,0.0,0.9372300526492062,0.06276994735079378,0.0067481857146178825,0.026947201185687497,1.0,0.01457867861670481,1.0112992907123148,1.1417634453276273,1.0245354899604842,1.0477981462478567,101129.92907123148,114176.34453276273,102453.54899604841,104779.81462478568
2019-10-28,0.009385614747559112,0.009385614747559057,0.0,0.0,0.9378137092170746,0.06218629078292537,0.007647319973619338,-0.00534821544451658,1.0000000000000002,0.00812148682083369,1.0207909562494204,1.1356570484353417,1.0323704406765408,1.0563078250835027,102079.09562494204,113565.70484353417,103237.04406765409,105630.78250835027
2019-10-29,0.0031037962459475772,0.0031037962459474766,0.0,0.0,0.9380061255717967,0.061993874428203255,-0.004166465049826984,0.02799658445845088,1.0,0.0026165047732118474,1.0239592833873246,1.1674515669076968,1.0280691053169875,1.0590716595498149,102395.92833873245,116745.15669076968,102806.91053169874,105907.16595498148
2019-10-30,-0.0060335921463200454,-0.006033592146320044,0.0,0.0,0.9376298092788974,0.062370190721102614,-0.004859049211938915,-0.0035953373666641752,1.0,-0.00824601020958693,1.0177811306969273,1.163254184665423,1.0230736669409781,1.0503385438324828,101778.11306969273,116325.4184665423,102307.36669409781,105033.85438324828
2019-10-31,-0.00022454819427279737,-0.00022454819427275563,0.0,0.0,0.9376158010196651,0.06238419898033487,-0.0011513069132382814,-0.04111340598418356,1.0000000000000002,0.0013936540228114414,1.0175525897818645,1.115428843108473,1.021895795155477,1.0518023523694089,101755.25897818645,111542.8843108473,102189.5795155477,105180.23523694089
2019-11-01,0.020617693831293225,0.02036645626792799,0.24616226514963255,0.0002461622651496326,0.9999999999999999,1.1102230246251565e-16,0.016888145622949713,0.03729491977984467,1.0,0.026131491591667277,1.0382765301019736,1.1570286723323284,1.0391537201555427,1.079287516696446,103827.65301019736,115702.86723323284,103915.37201555427,107928.7516696446
2019-11-04,0.011900397555279878,0.011900397555279829,0.0,0.0,0.9999999999999997,3.3306690738754696e-16,0.00650998509762446,0.0034699153232371494,1.0000000000000002,0.00996963835988307,1.0506324335825037,1.1610434638518792,1.0459185953878964,1.0900476229242457,105063.24335825037,116104.34638518792,104591.85953878965,109004.76229242457
